mask     ok?       cycles      CM/MHz  passes
-------  ----  ----------  ----------  ------
0x000    pass      806286    1.318010  [-none-]
0x001    pass      806286    1.318010  [fold_br]
0x002    pass      806286    1.318010  [dead_blocks]
0x003    pass      806286    1.318010  [fold_br,dead_blocks]
0x100    pass      806286    1.318010  [unroll]
0x101    pass      806286    1.318010  [fold_br,unroll]
0x102    pass      806286    1.318010  [dead_blocks,unroll]
0x103    pass      806286    1.318010  [fold_br,dead_blocks,unroll]
0x004    pass      806046    1.318323  [copy_prop]
0x005    pass      806046    1.318323  [fold_br,copy_prop]
0x104    pass      806046    1.318323  [copy_prop,unroll]
0x105    pass      806046    1.318323  [fold_br,copy_prop,unroll]
0x006    pass      805900    1.318341  [dead_blocks,copy_prop]
0x007    pass      805900    1.318341  [fold_br,dead_blocks,copy_prop]
0x106    pass      805900    1.318341  [dead_blocks,copy_prop,unroll]
0x107    pass      805900    1.318341  [fold_br,dead_blocks,copy_prop,unroll]
0x008    pass      805103    1.318695  [cse]
0x009    pass      805103    1.318695  [fold_br,cse]
0x00a    pass      805103    1.318695  [dead_blocks,cse]
0x00b    pass      805103    1.318695  [fold_br,dead_blocks,cse]
0x108    pass      805103    1.318695  [cse,unroll]
0x109    pass      805103    1.318695  [fold_br,cse,unroll]
0x10a    pass      805103    1.318695  [dead_blocks,cse,unroll]
0x10b    pass      805103    1.318695  [fold_br,dead_blocks,cse,unroll]
0x00c    pass      804863    1.319008  [copy_prop,cse]
0x00d    pass      804863    1.319008  [fold_br,copy_prop,cse]
0x10c    pass      804863    1.319008  [copy_prop,cse,unroll]
0x10d    pass      804863    1.319008  [fold_br,copy_prop,cse,unroll]
0x00e    pass      804717    1.319026  [dead_blocks,copy_prop,cse]
0x00f    pass      804717    1.319026  [fold_br,dead_blocks,copy_prop,cse]
0x10e    pass      804717    1.319026  [dead_blocks,copy_prop,cse,unroll]
0x10f    pass      804717    1.319026  [fold_br,dead_blocks,copy_prop,cse,unroll]
0x048    pass      803327    1.321749  [cse,licm_const]
0x049    pass      803327    1.321749  [fold_br,cse,licm_const]
0x04a    pass      803327    1.321749  [dead_blocks,cse,licm_const]
0x04b    pass      803327    1.321749  [fold_br,dead_blocks,cse,licm_const]
0x148    pass      803327    1.321749  [cse,licm_const,unroll]
0x149    pass      803327    1.321749  [fold_br,cse,licm_const,unroll]
0x14a    pass      803327    1.321749  [dead_blocks,cse,licm_const,unroll]
0x14b    pass      803327    1.321749  [fold_br,dead_blocks,cse,licm_const,unroll]
0x04c    pass      803087    1.322064  [copy_prop,cse,licm_const]
0x04d    pass      803087    1.322064  [fold_br,copy_prop,cse,licm_const]
0x14c    pass      803087    1.322064  [copy_prop,cse,licm_const,unroll]
0x14d    pass      803087    1.322064  [fold_br,copy_prop,cse,licm_const,unroll]
0x040    pass      803918    1.322081  [licm_const]
0x041    pass      803918    1.322081  [fold_br,licm_const]
0x042    pass      803918    1.322081  [dead_blocks,licm_const]
0x043    pass      803918    1.322081  [fold_br,dead_blocks,licm_const]
0x04e    pass      802941    1.322081  [dead_blocks,copy_prop,cse,licm_const]
0x04f    pass      802941    1.322081  [fold_br,dead_blocks,copy_prop,cse,licm_const]
0x140    pass      803918    1.322081  [licm_const,unroll]
0x141    pass      803918    1.322081  [fold_br,licm_const,unroll]
0x142    pass      803918    1.322081  [dead_blocks,licm_const,unroll]
0x143    pass      803918    1.322081  [fold_br,dead_blocks,licm_const,unroll]
0x14e    pass      802941    1.322081  [dead_blocks,copy_prop,cse,licm_const,unroll]
0x14f    pass      802941    1.322081  [fold_br,dead_blocks,copy_prop,cse,licm_const,unroll]
0x044    pass      803678    1.322396  [copy_prop,licm_const]
0x045    pass      803678    1.322396  [fold_br,copy_prop,licm_const]
0x144    pass      803678    1.322396  [copy_prop,licm_const,unroll]
0x145    pass      803678    1.322396  [fold_br,copy_prop,licm_const,unroll]
0x046    pass      803532    1.322413  [dead_blocks,copy_prop,licm_const]
0x047    pass      803532    1.322413  [fold_br,dead_blocks,copy_prop,licm_const]
0x146    pass      803532    1.322413  [dead_blocks,copy_prop,licm_const,unroll]
0x147    pass      803532    1.322413  [fold_br,dead_blocks,copy_prop,licm_const,unroll]
0x400    pass      798833    1.325136  [leg_f]
0x401    pass      798833    1.325136  [fold_br,leg_f]
0x402    pass      798833    1.325136  [dead_blocks,leg_f]
0x403    pass      798833    1.325136  [fold_br,dead_blocks,leg_f]
0x500    pass      798833    1.325136  [unroll,leg_f]
0x501    pass      798833    1.325136  [fold_br,unroll,leg_f]
0x502    pass      798833    1.325136  [dead_blocks,unroll,leg_f]
0x503    pass      798833    1.325136  [fold_br,dead_blocks,unroll,leg_f]
0x404    pass      798593    1.325453  [copy_prop,leg_f]
0x405    pass      798593    1.325453  [fold_br,copy_prop,leg_f]
0x504    pass      798593    1.325453  [copy_prop,unroll,leg_f]
0x505    pass      798593    1.325453  [fold_br,copy_prop,unroll,leg_f]
0x406    pass      798583    1.325470  [dead_blocks,copy_prop,leg_f]
0x407    pass      798583    1.325470  [fold_br,dead_blocks,copy_prop,leg_f]
0x506    pass      798583    1.325470  [dead_blocks,copy_prop,unroll,leg_f]
0x507    pass      798583    1.325470  [fold_br,dead_blocks,copy_prop,unroll,leg_f]
0x408    pass      797864    1.325583  [cse,leg_f]
0x409    pass      797864    1.325583  [fold_br,cse,leg_f]
0x40a    pass      797864    1.325583  [dead_blocks,cse,leg_f]
0x40b    pass      797864    1.325583  [fold_br,dead_blocks,cse,leg_f]
0x508    pass      797864    1.325583  [cse,unroll,leg_f]
0x509    pass      797864    1.325583  [fold_br,cse,unroll,leg_f]
0x50a    pass      797864    1.325583  [dead_blocks,cse,unroll,leg_f]
0x50b    pass      797864    1.325583  [fold_br,dead_blocks,cse,unroll,leg_f]
0x40c    pass      797624    1.325899  [copy_prop,cse,leg_f]
0x40d    pass      797624    1.325899  [fold_br,copy_prop,cse,leg_f]
0x50c    pass      797624    1.325899  [copy_prop,cse,unroll,leg_f]
0x50d    pass      797624    1.325899  [fold_br,copy_prop,cse,unroll,leg_f]
0x40e    pass      797614    1.325917  [dead_blocks,copy_prop,cse,leg_f]
0x40f    pass      797614    1.325917  [fold_br,dead_blocks,copy_prop,cse,leg_f]
0x50e    pass      797614    1.325917  [dead_blocks,copy_prop,cse,unroll,leg_f]
0x50f    pass      797614    1.325917  [fold_br,dead_blocks,copy_prop,cse,unroll,leg_f]
0x200    pass      800790    1.326502  [leg_e]
0x201    pass      800790    1.326502  [fold_br,leg_e]
0x202    pass      800790    1.326502  [dead_blocks,leg_e]
0x203    pass      800790    1.326502  [fold_br,dead_blocks,leg_e]
0x300    pass      800790    1.326502  [unroll,leg_e]
0x301    pass      800790    1.326502  [fold_br,unroll,leg_e]
0x302    pass      800790    1.326502  [dead_blocks,unroll,leg_e]
0x303    pass      800790    1.326502  [fold_br,dead_blocks,unroll,leg_e]
0x208    pass      799995    1.326527  [cse,leg_e]
0x209    pass      799995    1.326527  [fold_br,cse,leg_e]
0x20a    pass      799995    1.326527  [dead_blocks,cse,leg_e]
0x20b    pass      799995    1.326527  [fold_br,dead_blocks,cse,leg_e]
0x308    pass      799995    1.326527  [cse,unroll,leg_e]
0x309    pass      799995    1.326527  [fold_br,cse,unroll,leg_e]
0x30a    pass      799995    1.326527  [dead_blocks,cse,unroll,leg_e]
0x30b    pass      799995    1.326527  [fold_br,dead_blocks,cse,unroll,leg_e]
0x204    pass      800550    1.326819  [copy_prop,leg_e]
0x205    pass      800550    1.326819  [fold_br,copy_prop,leg_e]
0x304    pass      800550    1.326819  [copy_prop,unroll,leg_e]
0x305    pass      800550    1.326819  [fold_br,copy_prop,unroll,leg_e]
0x206    pass      800404    1.326837  [dead_blocks,copy_prop,leg_e]
0x207    pass      800404    1.326837  [fold_br,dead_blocks,copy_prop,leg_e]
0x306    pass      800404    1.326837  [dead_blocks,copy_prop,unroll,leg_e]
0x307    pass      800404    1.326837  [fold_br,dead_blocks,copy_prop,unroll,leg_e]
0x20c    pass      799755    1.326844  [copy_prop,cse,leg_e]
0x20d    pass      799755    1.326844  [fold_br,copy_prop,cse,leg_e]
0x30c    pass      799755    1.326844  [copy_prop,cse,unroll,leg_e]
0x30d    pass      799755    1.326844  [fold_br,copy_prop,cse,unroll,leg_e]
0x20e    pass      799609    1.326861  [dead_blocks,copy_prop,cse,leg_e]
0x20f    pass      799609    1.326861  [fold_br,dead_blocks,copy_prop,cse,leg_e]
0x30e    pass      799609    1.326861  [dead_blocks,copy_prop,cse,unroll,leg_e]
0x30f    pass      799609    1.326861  [fold_br,dead_blocks,copy_prop,cse,unroll,leg_e]
0x020    pass      800646    1.327881  [narrow_loads]
0x021    pass      800646    1.327881  [fold_br,narrow_loads]
0x022    pass      800646    1.327881  [dead_blocks,narrow_loads]
0x023    pass      800646    1.327881  [fold_br,dead_blocks,narrow_loads]
0x120    pass      800646    1.327881  [narrow_loads,unroll]
0x121    pass      800646    1.327881  [fold_br,narrow_loads,unroll]
0x122    pass      800646    1.327881  [dead_blocks,narrow_loads,unroll]
0x123    pass      800646    1.327881  [fold_br,dead_blocks,narrow_loads,unroll]
